Date,Low,High,Close,Open,Market Cap,Volume
"Dec 31, 2017",12755.60,14377.40,14156.40,12897.70,"216,326,000,000","12,136,300,000"
"Dec 30, 2017",12350.10,14681.90,12952.20,14681.90,"246,224,000,000","14,452,600,000"
"Dec 29, 2017",14307.00,15279.00,14656.20,14695.80,"246,428,000,000","13,025,500,000"
"Dec 28, 2017",13937.30,15888.40,14606.50,15864.10,"265,988,000,000","12,336,500,000"
"Dec 27, 2017",15114.30,16930.90,15838.50,16163.50,"270,976,000,000","12,487,600,000"
"Dec 26, 2017",14028.90,16461.20,16099.80,14036.60,"235,294,000,000","13,454,300,000"
"Dec 25, 2017",13448.90,14593.00,14026.60,13995.90,"234,590,000,000","10,664,700,000"
"Dec 24, 2017",12747.70,14626.00,13925.80,14608.20,"244,824,000,000","11,572,300,000"
"Dec 23, 2017",13828.80,15603.20,14699.20,13948.70,"233,748,000,000","13,086,000,000"
"Dec 22, 2017",11833.00,15943.40,13831.80,15898.00,"266,381,000,000","22,198,000,000"
"Dec 21, 2017",15342.70,17567.70,15802.90,16642.40,"278,827,000,000","16,516,600,000"
"Dec 20, 2017",16077.70,17934.70,16624.60,17760.30,"297,526,000,000","22,149,700,000"
"Dec 19, 2017",17275.40,19177.80,17776.70,19118.30,"320,242,000,000","16,894,500,000"
"Dec 18, 2017",18355.90,19371.00,19114.20,19106.40,"320,000,000,000","14,839,500,000"
"Dec 17, 2017",18974.10,20089.00,19140.80,19475.80,"326,141,000,000","13,314,600,000"
"Dec 16, 2017",17515.30,19716.70,19497.40,17760.30,"297,376,000,000","12,740,600,000"
"Dec 15, 2017",16601.30,18154.10,17706.90,16601.30,"277,936,000,000","14,310,000,000"
"Dec 14, 2017",16185.90,17085.80,16564.00,16384.60,"274,269,000,000","13,777,400,000"
"Dec 13, 2017",16039.70,17653.10,16408.20,17500.00,"292,900,000,000","12,976,900,000"
"Dec 12, 2017",16571.60,17781.80,17415.40,16919.80,"283,155,000,000","14,603,800,000"
"Dec 11, 2017",15404.80,17513.90,16936.80,15427.40,"258,147,000,000","12,153,900,000"
"Dec 10, 2017",13226.60,15850.60,15455.40,15168.40,"253,782,000,000","13,433,300,000"
