Date,Volume,Market Cap,Open,Close,Low,High
"Dec 31, 2017","2,554,270,000","68,850,800,000",712.21,756.73,710.12,760.35
"Dec 30, 2017","3,187,780,000","72,856,900,000",753.82,717.26,685.23,753.82
"Dec 29, 2017","2,648,970,000","71,544,300,000",740.39,753.59,729.61,770.12
"Dec 28, 2017","2,389,150,000","73,637,100,000",762.21,737.02,701.19,763.32
"Dec 27, 2017","2,100,030,000","74,854,100,000",774.97,762.84,738.41,789.25
"Dec 26, 2017","2,201,160,000","73,717,800,000",763.37,773.84,760.93,786.79
"Dec 25, 2017","2,491,760,000","67,475,100,000",698.87,765.83,698.87,782.52
"Dec 24, 2017","2,300,550,000","69,671,200,000",721.77,694.15,614.92,721.77
"Dec 23, 2017","2,480,340,000","65,752,100,000",681.32,719.39,679.73,763.89
"Dec 22, 2017","4,977,710,000","79,374,400,000",822.64,674.86,543.76,827.68
"Dec 21, 2017","3,569,060,000","79,125,300,000",820.24,821.06,792.69,880.54
"Dec 20, 2017","3,969,940,000","79,810,600,000",827.52,819.09,756.00,845.06
"Dec 19, 2017","4,096,550,000","76,552,200,000",793.90,826.82,785.34,881.94
"Dec 18, 2017","3,249,230,000","69,578,400,000",721.73,794.64,689.23,803.93
"Dec 17, 2017","2,147,390,000","67,106,400,000",696.24,719.98,696.24,735.83
"Dec 16, 2017","2,165,690,000","66,124,200,000",686.19,696.21,680.79,718.38
"Dec 15, 2017","2,758,710,000","67,090,900,000",696.38,684.45,621.06,697.13
"Dec 14, 2017","3,821,580,000","67,482,900,000",700.59,695.82,664.99,753.12
"Dec 13, 2017","4,524,540,000","62,105,600,000",644.91,702.77,597.80,747.99
"Dec 12, 2017","5,179,830,000","50,286,400,000",522.29,651.43,504.49,657.32
"Dec 11, 2017","1,771,440,000","42,389,300,000",440.36,515.14,439.10,516.97
"Dec 10, 2017","1,404,180,000","45,501,400,000",472.79,441.72,429.51,472.79
"Dec 09, 2017","2,003,850,000","44,005,600,000",457.34,473.50,456.25,504.15
"Dec 08, 2017","2,336,380,000","41,845,800,000",434.99,456.03,422.37,466.06
"Dec 07, 2017","2,129,570,000","41,007,600,000",426.37,434.41,414.41,441.40
"Dec 06, 2017","1,998,260,000","44,483,100,000",462.60,428.59,420.21,462.71
"Dec 05, 2017","1,216,720,000","45,212,800,000",470.29,463.28,457.66,473.56
"Dec 04, 2017","1,005,550,000","44,795,700,000",466.05,470.20,453.31,474.78
"Dec 03, 2017","990,557,000","44,560,500,000",463.70,465.85,451.85,482.81
"Dec 02, 2017","943,650,000","44,853,300,000",466.85,463.45,456.65,476.24
"Dec 01, 2017","1,247,880,000","42,765,000,000",445.21,466.54,428.31,472.61
"Nov 30, 2017","1,903,040,000","41,411,900,000",431.21,447.11,401.24,465.50
"Nov 29, 2017","2,675,940,000","45,442,100,000",473.28,427.52,425.07,522.31
"Nov 28, 2017","1,346,500,000","46,127,200,000",480.52,472.90,466.35,482.48
"Nov 27, 2017","1,396,480,000","45,255,000,000",471.53,480.36,468.49,493.40
"Nov 26, 2017","1,197,780,000","44,712,100,000",465.97,471.33,451.61,472.72
"Nov 25, 2017","1,422,080,000","45,633,400,000",475.68,466.28,461.05,485.19
"Nov 24, 2017","2,292,830,000","39,564,300,000",412.50,474.91,402.76,480.97
"Nov 23, 2017","1,845,680,000","36,577,300,000",381.44,410.17,376.09,425.55
"Nov 22, 2017","800,819,000","34,544,000,000",360.31,380.65,360.15,381.42
"Nov 21, 2017","949,912,000","35,220,200,000",367.44,360.40,350.69,372.47
"Nov 20, 2017","807,027,000","33,933,400,000",354.09,366.73,353.29,372.14
"Nov 19, 2017","1,181,530,000","33,284,900,000",347.40,354.39,344.74,371.29
"Nov 18, 2017","649,639,000","31,800,700,000",331.98,347.61,327.69,349.62
"Nov 17, 2017","621,733,000","31,620,300,000",330.17,332.39,327.52,334.96
"Nov 16, 2017","797,254,000","31,927,300,000",333.44,330.92,323.61,336.16
"Nov 15, 2017","722,666,000","32,353,200,000",337.96,333.36,329.81,340.91
"Nov 14, 2017","1,069,680,000","30,317,300,000",316.76,337.63,316.76,340.18
"Nov 13, 2017","1,041,890,000","29,379,000,000",307.02,316.72,307.02,328.42
"Nov 12, 2017","1,613,480,000","30,106,200,000",314.69,307.91,298.51,319.15
"Nov 11, 2017","842,301,000","28,559,400,000",298.59,314.68,298.19,319.45
"Nov 10, 2017","885,986,000","30,665,200,000",320.67,299.25,294.54,324.72
"Nov 09, 2017","893,250,000","29,509,000,000",308.64,320.88,307.06,329.45
"Nov 08, 2017","967,956,000","28,128,700,000",294.27,309.07,293.10,318.70
"Nov 07, 2017","540,766,000","28,533,300,000",298.57,294.66,290.77,304.84
"Nov 06, 2017","579,359,000","28,322,700,000",296.43,298.89,293.72,305.42
"Nov 05, 2017","337,658,000","28,661,500,000",300.04,296.26,295.12,301.37
"Nov 04, 2017","416,479,000","29,175,300,000",305.48,300.47,295.80,305.48
"Nov 03, 2017","646,340,000","27,547,400,000",288.50,305.71,287.69,308.31
"Nov 02, 2017","904,901,000","27,754,200,000",290.73,287.43,281.17,293.91
"Nov 01, 2017","553,864,000","29,183,600,000",305.76,291.69,290.58,306.40
"Oct 31, 2017","369,583,000","29,331,500,000",307.38,305.88,305.88,310.55
"Oct 30, 2017","331,442,000","29,077,600,000",304.78,307.75,304.35,310.50
"Oct 29, 2017","551,752,000","28,270,200,000",296.38,305.09,296.38,313.75
"Oct 28, 2017","264,424,000","28,410,400,000",297.92,296.30,293.58,300.36
"Oct 27, 2017","257,169,000","28,270,100,000",296.51,297.42,294.06,299.26
"Oct 26, 2017","270,273,000","28,408,400,000",298.02,296.53,295.22,301.07
"Oct 25, 2017","325,040,000","28,442,000,000",298.44,297.93,290.72,301.85
"Oct 24, 2017","684,281,000","27,357,500,000",287.12,298.33,282.66,311.96
"Oct 23, 2017","482,336,000","28,111,400,000",295.10,286.95,277.57,295.75
"Oct 22, 2017","327,387,000","28,624,800,000",300.55,295.45,292.81,305.50
"Oct 21, 2017","408,014,000","28,906,600,000",303.57,300.19,291.77,303.93
"Oct 20, 2017","396,673,000","29,326,300,000",308.05,304.01,303.49,311.44
"Oct 19, 2017","349,830,000","29,937,900,000",314.54,308.09,305.83,316.71
"Oct 18, 2017","606,114,000","30,160,500,000",316.94,314.32,290.64,317.24
"Oct 17, 2017","509,924,000","31,727,700,000",333.48,317.08,311.79,333.48
"Oct 16, 2017","692,885,000","32,029,200,000",336.71,333.38,332.04,349.35
"Oct 15, 2017","635,407,000","32,292,100,000",339.53,336.60,320.43,342.72
"Oct 14, 2017","516,562,000","32,222,400,000",338.85,339.63,334.70,347.98
"Oct 13, 2017","1,304,360,000","28,911,100,000",304.08,338.76,299.66,348.60
"Oct 12, 2017","527,557,000","28,851,200,000",303.50,304.14,303.29,309.15
"Oct 11, 2017","264,146,000","28,626,300,000",301.18,303.46,299.10,304.39
"Oct 10, 2017","359,706,000","28,281,400,000",297.60,299.87,293.17,306.15
"Oct 09, 2017","559,467,000","29,328,300,000",308.67,297.39,288.19,309.31
"Oct 08, 2017","293,167,000","29,550,900,000",311.06,308.61,308.03,312.54
"Oct 07, 2017","342,205,000","29,340,400,000",308.89,311.12,304.98,313.13
"Oct 06, 2017","318,664,000","28,031,100,000",295.15,308.59,294.95,308.84
"Oct 05, 2017","253,747,000","27,800,400,000",292.77,295.86,288.84,298.04
"Oct 04, 2017","257,906,000","27,794,100,000",292.75,292.66,290.89,299.39
"Oct 03, 2017","321,680,000","28,238,500,000",297.48,292.46,288.13,300.11
"Oct 02, 2017","339,443,000","28,708,500,000",302.48,297.48,294.58,302.92
"Oct 01, 2017","306,185,000","28,615,200,000",301.55,302.34,295.06,303.19
"Sep 30, 2017","332,439,000","27,655,200,000",291.48,301.46,291.11,303.96
"Sep 29, 2017","541,375,000","28,375,900,000",299.12,291.47,279.77,299.92
"Sep 28, 2017","501,894,000","29,068,700,000",306.47,299.15,295.47,307.20
"Sep 27, 2017","550,244,000","27,219,400,000",287.02,306.47,286.82,308.01
"Sep 26, 2017","345,801,000","27,720,000,000",292.35,287.44,287.02,293.75
"Sep 25, 2017","483,161,000","26,755,500,000",282.22,292.33,281.88,293.51
"Sep 24, 2017","571,411,000","27,129,900,000",286.21,282.48,278.13,292.95
"Sep 23, 2017","450,934,000","25,077,100,000",264.60,286.17,261.12,286.17
"Sep 22, 2017","430,081,000","24,458,400,000",258.11,264.31,256.22,270.54
"Sep 21, 2017","601,266,000","26,836,000,000",283.26,258.58,255.02,286.61
"Sep 20, 2017","421,404,000","26,712,400,000",282.01,283.74,278.05,290.89
"Sep 19, 2017","646,909,000","27,809,300,000",293.66,282.80,274.48,295.77
"Sep 18, 2017","1,127,750,000","23,881,200,000",252.23,293.50,252.23,293.50
"Sep 17, 2017","427,452,000","23,272,500,000",245.85,251.75,235.24,257.00
"Sep 16, 2017","711,737,000","23,742,600,000",250.87,246.52,238.22,262.59
