Date,Volume,Low,Close,Open,Market Cap,High
"Dec 31, 2017","771,042,000",213.81,232.10,216.97,"11,835,100,000",237.79
"Dec 30, 2017","943,667,000",208.20,218.96,245.09,"13,364,800,000",245.43
"Dec 29, 2017","1,392,210,000",238.33,245.50,250.35,"13,648,200,000",258.04
"Dec 28, 2017","2,593,240,000",231.38,249.93,272.13,"14,831,200,000",273.18
"Dec 27, 2017","777,138,000",264.42,272.17,286.59,"15,615,200,000",290.94
"Dec 26, 2017","842,993,000",272.26,286.50,273.11,"14,876,400,000",289.51
"Dec 25, 2017","804,377,000",269.57,273.39,277.49,"15,111,400,000",286.79
"Dec 24, 2017","1,122,910,000",251.04,275.98,291.01,"15,842,900,000",291.01
"Dec 23, 2017","1,352,580,000",261.64,288.27,269.27,"14,655,200,000",312.67
"Dec 22, 2017","2,938,040,000",187.48,264.93,319.26,"17,371,200,000",320.30
"Dec 21, 2017","1,555,940,000",299.53,317.46,314.66,"17,116,600,000",339.74
"Dec 20, 2017","2,104,060,000",308.63,314.62,349.60,"19,012,500,000",349.60
"Dec 19, 2017","2,150,480,000",335.68,350.25,359.13,"19,525,500,000",375.29
"Dec 18, 2017","1,966,600,000",302.00,358.34,318.95,"17,336,500,000",360.93
"Dec 17, 2017","1,703,580,000",301.78,318.72,301.78,"16,398,800,000",332.59
"Dec 16, 2017","1,291,380,000",290.13,298.97,299.34,"16,260,700,000",309.90
"Dec 15, 2017","2,599,940,000",251.22,299.78,280.97,"15,258,500,000",316.41
"Dec 14, 2017","2,114,880,000",265.66,279.33,301.20,"16,352,400,000",311.32
"Dec 13, 2017","3,409,790,000",287.48,302.60,315.36,"17,116,500,000",341.80
"Dec 12, 2017","6,961,680,000",209.68,316.16,212.46,"11,528,600,000",341.72
"Dec 11, 2017","2,913,980,000",147.34,214.20,148.26,"8,042,020,000",225.29
"Dec 10, 2017","1,087,340,000",130.16,148.66,155.63,"8,438,840,000",155.63
"Dec 09, 2017","2,436,540,000",126.59,155.24,127.48,"6,910,360,000",171.55
"Dec 08, 2017","1,515,560,000",95.40,124.85,98.33,"5,327,910,000",133.07
"Dec 07, 2017","645,691,000",92.27,98.29,99.98,"5,415,710,000",101.34
"Dec 06, 2017","547,512,000",97.31,100.35,102.48,"5,548,860,000",104.82
"Dec 05, 2017","328,726,000",101.84,102.40,104.28,"5,644,390,000",104.30
"Dec 04, 2017","331,151,000",96.53,104.24,101.40,"5,486,740,000",104.24
"Dec 03, 2017","364,022,000",98.10,101.26,100.19,"5,420,380,000",106.39
"Dec 02, 2017","402,554,000",98.32,100.28,98.94,"5,351,330,000",103.80
"Dec 01, 2017","561,343,000",83.74,99.00,88.00,"4,758,600,000",100.41
"Nov 30, 2017","481,948,000",78.08,88.33,86.25,"4,662,340,000",93.54
"Nov 29, 2017","786,820,000",81.77,85.57,96.01,"5,188,580,000",104.61
"Nov 28, 2017","388,931,000",90.34,96.03,91.72,"4,955,290,000",96.03
"Nov 27, 2017","429,591,000",85.89,91.60,85.89,"4,638,580,000",93.29
"Nov 26, 2017","357,457,000",84.02,85.93,88.94,"4,801,830,000",88.94
"Nov 25, 2017","487,897,000",77.52,88.82,77.91,"4,205,220,000",89.37
"Nov 24, 2017","287,392,000",72.81,77.97,73.14,"3,946,910,000",77.97
"Nov 23, 2017","315,247,000",70.90,73.22,71.98,"3,882,950,000",76.40
"Nov 22, 2017","157,890,000",70.18,71.89,70.18,"3,785,260,000",71.95
"Nov 21, 2017","231,665,000",68.11,70.03,72.20,"3,892,860,000",72.53
"Nov 20, 2017","188,976,000",70.79,72.25,71.41,"3,849,390,000",72.92
"Nov 19, 2017","243,057,000",68.60,71.59,69.51,"3,745,710,000",72.98
"Nov 18, 2017","174,063,000",65.71,69.64,67.41,"3,631,120,000",69.77
"Nov 17, 2017","350,505,000",65.78,67.57,70.45,"3,794,080,000",71.12
"Nov 16, 2017","418,129,000",62.94,71.06,63.81,"3,435,690,000",72.48
"Nov 15, 2017","194,636,000",62.71,63.82,62.78,"3,379,200,000",65.52
"Nov 14, 2017","174,111,000",60.87,62.68,61.64,"3,317,410,000",63.81
"Nov 13, 2017","237,478,000",58.85,61.40,59.18,"3,183,830,000",62.76
