Date,Close,High,Open,Market Cap,Volume,Low
"Dec 31, 2017",75.96,78.01,72.56,"4,716,090,000","181,357,000",67.69
"Dec 30, 2017",72.40,74.54,74.18,"4,821,840,000","202,377,000",63.02
"Dec 29, 2017",73.90,74.82,65.70,"4,270,520,000","163,331,000",63.14
"Dec 28, 2017",65.43,66.94,66.76,"4,339,530,000","135,592,000",58.22
"Dec 27, 2017",66.88,70.29,65.53,"4,259,210,000","153,715,000",62.88
"Dec 26, 2017",65.52,68.80,66.61,"4,329,390,000","195,466,000",61.86
"Dec 25, 2017",66.32,68.37,60.27,"3,917,400,000","170,538,000",58.39
"Dec 24, 2017",59.70,59.97,59.32,"3,855,900,000","160,158,000",51.84
"Dec 23, 2017",58.90,67.75,56.32,"3,660,710,000","146,282,000",56.32
"Dec 22, 2017",55.57,72.28,71.54,"4,650,220,000","297,579,000",43.39
"Dec 21, 2017",71.37,79.04,76.12,"4,948,010,000","225,272,000",67.49
"Dec 20, 2017",75.62,77.50,71.31,"4,634,920,000","305,912,000",63.10
"Dec 19, 2017",70.81,82.10,77.19,"5,017,420,000","290,083,000",66.59
"Dec 18, 2017",77.22,81.06,68.45,"4,449,540,000","437,849,000",63.96
"Dec 17, 2017",68.11,71.72,49.74,"3,233,120,000","500,799,000",49.74
"Dec 16, 2017",49.81,52.26,48.14,"3,129,270,000","164,723,000",46.93
"Dec 15, 2017",47.99,51.24,50.54,"3,285,020,000","204,065,000",43.13
"Dec 14, 2017",50.62,53.65,44.90,"2,918,700,000","313,147,000",44.40
"Dec 13, 2017",44.81,49.07,40.73,"2,647,620,000","294,500,000",37.49
"Dec 12, 2017",40.41,41.28,36.22,"2,354,370,000","132,796,000",35.32
"Dec 11, 2017",35.88,36.57,33.32,"2,165,750,000","77,323,800",33.32
"Dec 10, 2017",33.31,35.79,35.79,"2,326,550,000","72,133,600",32.51
"Dec 09, 2017",35.71,38.98,35.96,"2,337,250,000","93,255,300",34.87
"Dec 08, 2017",36.27,37.38,34.84,"2,264,560,000","125,450,000",32.36
"Dec 07, 2017",34.86,37.26,35.04,"2,277,340,000","125,301,000",33.31
"Dec 06, 2017",35.16,38.85,38.75,"2,518,460,000","118,745,000",34.40
"Dec 05, 2017",38.82,42.79,41.99,"2,729,160,000","101,480,000",38.82
"Dec 04, 2017",42.17,43.00,36.65,"2,382,160,000","160,430,000",36.62
"Dec 03, 2017",36.62,39.52,35.09,"2,281,180,000","79,801,700",35.03
"Dec 02, 2017",35.07,36.61,35.84,"2,329,690,000","48,991,700",34.51
"Dec 01, 2017",35.84,36.23,32.89,"2,137,790,000","89,359,700",31.36
"Nov 30, 2017",32.96,34.98,32.54,"2,115,360,000","78,895,100",30.09
"Nov 29, 2017",32.28,39.44,37.99,"2,469,340,000","137,123,000",31.23
"Nov 28, 2017",38.08,40.13,40.13,"2,608,660,000","80,129,000",37.47
"Nov 27, 2017",40.13,41.91,38.32,"2,491,020,000","83,345,900",38.32
"Nov 26, 2017",38.44,39.20,38.04,"2,472,680,000","61,597,700",37.49
"Nov 25, 2017",38.13,39.86,34.83,"2,263,690,000","125,113,000",34.60
"Nov 24, 2017",34.79,35.70,34.89,"2,267,940,000","68,977,700",33.46
"Nov 23, 2017",34.90,36.29,35.83,"2,329,200,000","68,917,800",34.50
"Nov 22, 2017",35.86,36.98,34.45,"2,239,040,000","82,378,800",34.45
"Nov 21, 2017",34.36,37.16,36.21,"2,353,570,000","133,333,000",33.38
"Nov 20, 2017",35.64,43.14,39.94,"2,596,080,000","243,906,000",35.64
"Nov 19, 2017",39.75,45.45,43.01,"2,795,440,000","273,035,000",36.66
"Nov 18, 2017",42.74,48.09,39.74,"2,583,010,000","434,827,000",36.28
"Nov 17, 2017",40.50,41.08,28.71,"1,866,360,000","252,834,000",28.36
"Nov 16, 2017",28.70,29.93,29.45,"1,913,970,000","40,895,700",28.48
"Nov 15, 2017",29.35,30.59,29.79,"1,936,170,000","45,103,700",28.26
"Nov 14, 2017",29.73,29.96,28.40,"1,845,750,000","39,436,300",28.10
"Nov 13, 2017",28.40,28.97,27.12,"1,762,620,000","41,299,400",26.59
"Nov 12, 2017",26.96,28.45,28.44,"1,848,580,000","63,588,200",25.31
"Nov 11, 2017",28.53,29.93,28.15,"1,829,610,000","45,994,100",27.40
"Nov 10, 2017",28.18,32.44,31.97,"2,078,110,000","57,756,900",26.74
"Nov 09, 2017",31.90,33.02,30.76,"1,999,530,000","79,919,300",30.58
"Nov 08, 2017",30.67,33.81,26.17,"1,700,950,000","120,273,000",26.02
"Nov 07, 2017",26.23,26.52,26.26,"1,706,600,000","40,146,900",25.62
"Nov 06, 2017",26.32,26.81,26.47,"1,720,760,000","26,798,400",25.95
"Nov 05, 2017",26.38,26.72,26.48,"1,721,090,000","25,229,700",25.79
"Nov 04, 2017",26.49,27.74,26.77,"1,739,980,000","31,870,600",25.94
"Nov 03, 2017",26.82,26.90,24.60,"1,598,960,000","40,142,100",24.39
"Nov 02, 2017",24.50,26.75,26.75,"1,738,720,000","74,455,200",22.89
"Nov 01, 2017",26.86,28.44,28.38,"1,844,740,000","49,782,800",26.68
"Oct 31, 2017",28.47,30.44,28.69,"1,864,890,000","61,688,400",28.47
"Oct 30, 2017",28.79,29.49,27.72,"1,801,620,000","30,968,500",27.71
"Oct 29, 2017",27.76,28.61,27.20,"1,360,230,000","29,736,500",27.20
"Oct 28, 2017",27.35,28.99,28.86,"1,443,000,000","25,368,200",27.17
"Oct 27, 2017",28.76,28.88,28.33,"1,416,350,000","28,919,000",28.10
"Oct 26, 2017",28.33,29.39,28.48,"1,423,950,000","35,987,900",28.06
